기준년도,학교종류,설립구분,상태,지역,학교,대계열,입학정원(A),정원내 모집인원(B),정원내 지원자(C),정원내 입학자(D),충원율(%),경쟁률,충원율_평균,충원율_편차,충원율_표준편차,충원안정성비율
2014,대학교,사립,기존,강원,한라대학교,예체능계열,70,70,294,70,100,4.2,92.9614,7.0386,18.4641,0.1986
2014,대학교,사립,기존,강원,한라대학교,인문사회계열,415,415,1935,414,99.76,4.66,91.6157,8.1443,16.6047,0.1812
2014,대학교,사립,기존,강원,한림대학교,공학계열,223,223,1260,223,100,5.65,90.76,9.24,23.271,0.2564
2014,대학교,사립,기존,강원,한림대학교,예체능계열,67,67,461,67,100,6.88,92.9614,7.0386,18.4641,0.1986
2014,대학교,사립,기존,강원,한림대학교,인문사회계열,970,970,5277,967,99.69,5.44,91.6157,8.0743,16.6047,0.1812
2014,대학교,사립,기존,강원,한림대학교,자연과학계열,580,580,4064,579,99.83,7.01,94.715,5.115,10.4463,0.1103
2014,대학교,사립,기존,강원,한중대학교,공학계열,150,150,307,57,38,2.05,90.76,-52.76,23.271,0.2564
2014,대학교,사립,기존,강원,한중대학교,예체능계열,184,184,235,94,51.09,1.28,92.9614,-41.8714,18.4641,0.1986
2014,대학교,사립,기존,강원,한중대학교,인문사회계열,195,195,366,107,54.87,1.88,91.6157,-36.7457,16.6047,0.1812
2014,대학교,사립,기존,강원,한중대학교,자연과학계열,140,140,447,103,73.57,3.19,94.715,-21.145,10.4463,0.1103
2014,대학교,사립,기존,경기,가천대학교,공학계열,1307,1307,17698,1307,100,13.54,99.0505,0.9495,3.7069,0.0374
2014,대학교,사립,기존,경기,가천대학교,예체능계열,410,410,6947,411,100.24,16.94,98.4996,1.7404,4.878,0.0495
2014,대학교,사립,기존,경기,가천대학교,인문사회계열,1427,1427,23079,1428,100.07,16.17,94.6323,5.4377,14.474,0.1529
2014,대학교,사립,기존,경기,가천대학교,자연과학계열,760,760,11675,760,100,15.36,99.7248,0.2752,2.1356,0.0214
2014,대학교,사립,기존,경기,가톨릭대학교,공학계열,344,344,6214,344,100,18.06,99.0505,0.9495,3.7069,0.0374
2014,대학교,사립,기존,경기,가톨릭대학교,예체능계열,52,52,226,52,100,4.35,98.4996,1.5004,4.878,0.0495
2014,대학교,사립,기존,경기,가톨릭대학교,인문사회계열,897,897,12395,896,99.89,13.82,94.6323,5.2577,14.474,0.1529
2014,대학교,사립,기존,경기,가톨릭대학교,자연과학계열,285,285,3910,284,99.65,13.72,99.7248,-0.0748,2.1356,0.0214
2014,대학교,사립,기존,경기,강남대학교,공학계열,230,230,4754,227,98.7,20.67,99.0505,-0.3505,3.7069,0.0374
2014,대학교,사립,기존,경기,강남대학교,예체능계열,174,174,2422,175,100.57,13.92,98.4996,2.0704,4.878,0.0495
2014,대학교,사립,기존,경기,강남대학교,인문사회계열,1224,1224,14356,1215,99.26,11.73,94.6323,4.6277,14.474,0.1529
2014,대학교,사립,기존,경기,강남대학교,자연과학계열,29,29,451,29,100,15.55,99.7248,0.2752,2.1356,0.0214
2014,대학교,사립,기존,경기,경기대학교,공학계열,775,775,12078,770,99.35,15.58,99.0505,0.2995,3.7069,0.0374
2014,대학교,사립,기존,경기,경기대학교,예체능계열,395,395,3053,394,99.75,7.73,98.4996,1.2504,4.878,0.0495
2014,대학교,사립,기존,경기,경기대학교,인문사회계열,1156,1156,20680,1151,99.57,17.89,94.6323,4.9377,14.474,0.1529
2014,대학교,사립,기존,경기,경기대학교,자연과학계열,277,277,4713,276,99.64,17.01,99.7248,-0.0848,2.1356,0.0214
2014,대학교,사립,기존,경기,경동대학교,공학계열,66,66,448,65,98.48,6.79,99.0505,-0.5705,3.7069,0.0374
2014,대학교,사립,기존,경기,경동대학교,예체능계열,33,33,186,32,96.97,5.64,98.4996,-1.5296,4.878,0.0495
2014,대학교,사립,기존,경기,경동대학교,인문사회계열,201,201,1472,199,99,7.32,94.6323,4.3677,14.474,0.1529
2014,대학교,사립,기존,경기,단국대학교,공학계열,810,800,12307,808,101,15.38,99.0505,1.9495,3.7069,0.0374
2014,대학교,사립,기존,경기,단국대학교,예체능계열,387,387,6076,385,99.48,15.7,98.4996,0.9804,4.878,0.0495
2014,대학교,사립,기존,경기,단국대학교,인문사회계열,1123,1103,18599,1119,101.45,16.86,94.6323,6.8177,14.474,0.1529
2014,대학교,사립,기존,경기,단국대학교,자연과학계열,60,60,1064,60,100,17.73,99.7248,0.2752,2.1356,0.0214
2014,대학교,사립,기존,경기,대진대학교,공학계열,563,563,3825,563,100,6.79,99.0505,0.9495,3.7069,0.0374
2014,대학교,사립,기존,경기,대진대학교,예체능계열,313,313,2295,311,99.36,7.33,98.4996,0.8604,4.878,0.0495
2014,대학교,사립,기존,경기,대진대학교,인문사회계열,848,848,6073,843,99.41,7.16,94.6323,4.7777,14.474,0.1529
2014,대학교,사립,기존,경기,대진대학교,자연과학계열,206,206,1925,207,100.49,9.34,99.7248,0.7652,2.1356,0.0214
2014,대학교,사립,기존,경기,루터대학교,인문사회계열,70,70,358,70,100,5.11,94.6323,5.3677,14.474,0.1529
2014,대학교,사립,기존,경기,루터대학교,자연과학계열,30,30,112,30,100,3.73,99.7248,0.2752,2.1356,0.0214
2014,대학교,사립,기존,경기,명지대학교,공학계열,1018,1018,13021,1017,99.9,12.79,99.0505,0.8495,3.7069,0.0374
2014,대학교,사립,기존,경기,명지대학교,예체능계열,395,395,5274,393,99.49,13.35,98.4996,0.9904,4.878,0.0495
2014,대학교,사립,기존,경기,명지대학교,자연과학계열,222,222,2898,221,99.55,13.05,99.7248,-0.1748,2.1356,0.0214
2014,대학교,사립,기존,경기,서울신학대학교,예체능계열,85,85,886,84,98.82,10.42,98.4996,0.3204,4.878,0.0495
2014,대학교,사립,기존,경기,서울신학대학교,인문사회계열,455,455,1772,451,99.12,3.89,94.6323,4.4877,14.474,0.1529
2014,대학교,사립,기존,경기,서울장신대학교,예체능계열,30,30,66,30,100,2.2,98.4996,1.5004,4.878,0.0495
2014,대학교,사립,기존,경기,서울장신대학교,인문사회계열,92,92,236,92,100,2.57,94.6323,5.3677,14.474,0.1529
2014,대학교,사립,기존,경기,성결대학교,공학계열,310,310,2663,310,100,8.59,99.0505,0.9495,3.7069,0.0374
2014,대학교,사립,기존,경기,성결대학교,예체능계열,180,180,3030,180,100,16.83,98.4996,1.5004,4.878,0.0495
2014,대학교,사립,기존,경기,성결대학교,인문사회계열,790,790,7127,790,100,9.02,94.6323,5.3677,14.474,0.1529
2014,대학교,사립,기존,경기,수원가톨릭대학교,인문사회계열,90,90,64,39,43.33,0.71,94.6323,-51.3023,14.474,0.1529
2014,대학교,사립,기존,경기,수원대학교,공학계열,820,820,10425,816,99.51,12.71,99.0505,0.4595,3.7069,0.0374
2014,대학교,사립,기존,경기,수원대학교,예체능계열,630,635,7761,631,99.37,12.22,98.4996,0.8704,4.878,0.0495
2014,대학교,사립,기존,경기,수원대학교,인문사회계열,851,852,13314,848,99.53,15.63,94.6323,4.8977,14.474,0.1529
2014,대학교,사립,기존,경기,수원대학교,자연과학계열,311,311,4678,309,99.36,15.04,99.7248,-0.3648,2.1356,0.0214
2014,대학교,사립,기존,경기,신한대학교,공학계열,243,243,2657,240,98.77,10.93,99.0505,-0.2805,3.7069,0.0374
2014,대학교,사립,기존,경기,신한대학교,예체능계열,175,175,1837,172,98.29,10.5,98.4996,-0.2096,4.878,0.0495
2014,대학교,사립,기존,경기,신한대학교,인문사회계열,555,555,7248,552,99.46,13.06,94.6323,4.8277,14.474,0.1529
2014,대학교,사립,기존,경기,신한대학교,자연과학계열,480,480,6177,478,99.58,12.87,99.7248,-0.1448,2.1356,0.0214
2014,대학교,사립,기존,경기,아신대학교,인문사회계열,200,200,386,187,93.5,1.93,94.6323,-1.1323,14.474,0.1529
2014,대학교,사립,기존,경기,아주대학교,공학계열,1039,1039,12481,1036,99.71,12.01,99.0505,0.6595,3.7069,0.0374
2014,대학교,사립,기존,경기,아주대학교,인문사회계열,635,635,8103,631,99.37,12.76,94.6323,4.7377,14.474,0.1529
2014,대학교,사립,기존,경기,아주대학교,자연과학계열,264,264,3921,263,99.62,14.85,99.7248,-0.1048,2.1356,0.0214
2014,대학교,사립,기존,경기,안양대학교,공학계열,320,320,4395,319,99.69,13.73,99.0505,0.6395,3.7069,0.0374
2014,대학교,사립,기존,경기,안양대학교,예체능계열,152,152,2374,150,98.68,15.62,98.4996,0.1804,4.878,0.0495
2014,대학교,사립,기존,경기,안양대학교,인문사회계열,555,555,7914,547,98.56,14.26,94.6323,3.9277,14.474,0.1529
2014,대학교,사립,기존,경기,안양대학교,자연과학계열,90,90,1412,89,98.89,15.69,99.7248,-0.8348,2.1356,0.0214
2014,대학교,사립,기존,경기,예원예술대학교,예체능계열,99,99,630,100,101.01,6.36,98.4996,2.5104,4.878,0.0495
2014,대학교,사립,기존,경기,용인대학교,예체능계열,802,802,7305,800,99.75,9.11,98.4996,1.2504,4.878,0.0495
2014,대학교,사립,기존,경기,용인대학교,인문사회계열,429,429,3620,424,98.83,8.44,94.6323,4.1977,14.474,0.1529
2014,대학교,사립,기존,경기,용인대학교,자연과학계열,239,239,2245,235,98.33,9.39,99.7248,-1.3948,2.1356,0.0214
2014,대학교,사립,기존,경기,을지대학교 _제2캠퍼스,예체능계열,80,80,713,80,100,8.91,98.4996,1.5004,4.878,0.0495
2014,대학교,사립,기존,경기,을지대학교 _제2캠퍼스,인문사회계열,160,160,1631,159,99.38,10.19,94.6323,4.7477,14.474,0.1529
2014,대학교,사립,기존,경기,을지대학교 _제2캠퍼스,자연과학계열,757,757,10397,753,99.47,13.73,99.7248,-0.2548,2.1356,0.0214
2014,대학교,사립,기존,경기,중앙대학교,예체능계열,983,983,10567,983,100,10.75,98.4996,1.5004,4.878,0.0495
2014,대학교,사립,기존,경기,중앙대학교,자연과학계열,370,370,1534,368,99.46,4.15,99.7248,-0.2648,2.1356,0.0214
2014,대학교,사립,기존,경기,중앙승가대학교,인문사회계열,120,120,70,55,45.83,0.58,94.6323,-48.8023,14.474,0.1529
2014,대학교,사립,기존,경기,차의과학대학교,인문사회계열,250,250,687,247,98.8,2.75,94.6323,4.1677,14.474,0.1529
2014,대학교,사립,기존,경기,차의과학대학교,자연과학계열,260,260,1196,260,100,4.6,99.7248,0.2752,2.1356,0.0214
2014,대학교,사립,기존,경기,칼빈대학교,예체능계열,17,17,54,16,94.12,3.18,98.4996,-4.3796,4.878,0.0495
